currency,rate_per_usd,collected_at,api_last_update,base_currency,value_in_bdt
KWD,0.308313,2026-06-13 15:14:16,"Sat, 13 Jun 2026 00:02:31 +0000",USD,398.81
OMR,0.384497,2026-06-13 15:14:16,"Sat, 13 Jun 2026 00:02:31 +0000",USD,319.79
GBP,0.746228,2026-06-13 15:14:16,"Sat, 13 Jun 2026 00:02:31 +0000",USD,164.77
EUR,0.864386,2026-06-13 15:14:16,"Sat, 13 Jun 2026 00:02:31 +0000",USD,142.25
USD,1.0,2026-06-13 15:14:16,"Sat, 13 Jun 2026 00:02:31 +0000",USD,122.96
SGD,1.284035,2026-06-13 15:14:16,"Sat, 13 Jun 2026 00:02:31 +0000",USD,95.76
CAD,1.398093,2026-06-13 15:14:16,"Sat, 13 Jun 2026 00:02:31 +0000",USD,87.95
AUD,1.419971,2026-06-13 15:14:16,"Sat, 13 Jun 2026 00:02:31 +0000",USD,86.59
QAR,3.64,2026-06-13 15:14:16,"Sat, 13 Jun 2026 00:02:31 +0000",USD,33.78
AED,3.6725,2026-06-13 15:14:16,"Sat, 13 Jun 2026 00:02:31 +0000",USD,33.48
SAR,3.75,2026-06-13 15:14:16,"Sat, 13 Jun 2026 00:02:31 +0000",USD,32.79
MYR,4.05786,2026-06-13 15:14:16,"Sat, 13 Jun 2026 00:02:31 +0000",USD,30.3
CNY,6.776548,2026-06-13 15:14:16,"Sat, 13 Jun 2026 00:02:31 +0000",USD,18.14
INR,95.30776,2026-06-13 15:14:16,"Sat, 13 Jun 2026 00:02:31 +0000",USD,1.29
BDT,122.958481,2026-06-13 15:14:16,"Sat, 13 Jun 2026 00:02:31 +0000",USD,1.0
JPY,160.236148,2026-06-13 15:14:16,"Sat, 13 Jun 2026 00:02:31 +0000",USD,0.77
